ID,LetterCode,ValueRange,Class,Klasse,Classe,Clase,Eeann
91,X,XS,socket,Steckdose,Presa,Conector,
92,X,XT,terminal strip,Klemmleiste,Morsettiera,Regleta de bornes,
93,X,XX,terminal plug,Klemmstecker,Spina per morsettiera,Enchufe de bornes,
94,Y, ,electrically operated mechanical devices,elektrisch betätigte mechanische Einrichtungen,Dispositivi meccanici a comando elettrico,Dispositivos mecánicos operados eléctricamente,
95,Y,YA,electromagnet,Elektromagnet,Elettrocalamita,Electroimán,
96,Y,YB,brake,Bremse,Freno,Freno,
97,Y,YC,coupling,Kupplung,Frizione,Acoplamiento,
98,Y,YH,magnetic clamping device,magnetische Spannvorrichtung oder Spanndorn,Mandrino magnetico o mandrino,Dispositivo magnético de sujeción,
99,Y,YV,solenoid valve,Magnetventil,Elettrovalvola,Válvula de solenoide,
1,A, ,"assemblies, subassemblies","Baugruppen, Teilbaugruppen",Gruppi funzionali,"Montajes, submontajes",
2,A,AD,transistor amplifier,Transistorverstärker,Amplificatori a transistor,Transistor amplificador,
60,Q,QM,motor circuit-breaker,Motorschutzschalter,Salva motore,Interruptor electromotor automático,
61,Q,QS,disconnector,Trennschalter,Sezionatore,Desconector,
62,R, ,resistors,Widerstände,Resistenze,Resistencias eléctricas,
63,R,R,fixedor trimming resistor,fester oder einstellbarer Widerstand,Resistenza fissa o impostabile,Reostato fijo o regulable,
64,R,RP,potentiometer,Potentiometer,Potenziometri,Potenciómetro,
65,R,RS,shunt resistor,Nebenwiderstand,Resistenza Shunt,Reostato derivador,
66,R,RT,"thermistor (NTC, PTC)","temperaturabhängiger Widerstand (Heiß-, Kaltleiter)","Resistenza dipendente dalla temperatura (NTC, PTC)","Reostato sensible al calor (NTC, PTC)",
67,R,RV,voltage dependant resistor (VDR),spannungsabhängiger Widerstand (Varistor),Resistenza dipendente dalla tensione (Varistor),Reostato dependiente de voltaje (VDR),
68,S, ,"switchingdevices for control circuits, selectors","Schalter, Wähler",Selettore,"Dispositivo de conmutación para circuítos de maniobra, selectores",
69,S,SA,selectorswitch or control switch,Wahl- oder Steuerschalter,Interuttore selettore,Interruptor selector o interruptor de regulación,
70,S,SB,pushbutton,Drucktaster (einschl. elektronische berührungsloswirkende Befehlsgeräte),Pulsante,Pulsador,
74,S,SR,speed monitor,Drehzahlwächter,speed monitor,Monitor de velocidad,
75,S,ST,temperature detector,Temperaturfühler,Sensore di temperatura,Detector de temperatura,
76,T, ,transformers,Transformatoren,Trasformatori,Transformadores,
