AttributeID,AttributeName,Typ,Owner,Owner2,SingleInstance,MustExist,Hidden,Format,PositionX,PositionY,Visible,Color,Ratio,Size,Direction,Level,DefaultValue,ASSIGNED_LIST,UNIQUE_VALUE,Flags2,DESCRIPTION_86,DESCRIPTION_31,DESCRIPTION_44,DESCRIPTION_33,DESCRIPTION_49,DESCRIPTION_39,DESCRIPTION_81,DESCRIPTION_351,DESCRIPTION_07,DESCRIPTION_34,DESCRIPTION_90,DESCRIPTION_48,USAGE_DESCRIPTION
0,.CALC_RESULT_FUSE_SIZE,2,5440,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：熔线额定(电流)值[A],berekend: zekeringswaarde [A],Calculated: Fuse rating [A],Calculé : valeur du fusible [A],Berechnet: Sicherungsgröße [A],Calcolato: Portata fusibile [A],算出: フューズ定格 [A],Calculado: Categoria do Fusível [A],Рассчитано: Номинальная характеристика плавления [A],Calculado: Clasificación de fusible [A],Hesaplandı: Sigorta değeri [A],Wyliczony/a: Obciążalność bezpieczenika [A],
0,.CALC_RESULT_LOAD_FACTOR,2,4,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：负载系数,berekend: belastingsfaktor,Calculated: Load factor,Calculé : facteur de charge,Berechnet: Belastungsfaktor,Calcolato: fattore di carico,算出: 負荷要因,Calculado: Fator de Carga,Рассчитано: Коэффициент нагрузки,Calculado: Factor de carga,Hesaplandı: Yük faktörü,Wyliczony/a: Wspołczynnik obciążenia,
0,.CALC_RESULT_OPTIMUM_CURRENT,2,4,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：最佳电流[A],berekend: optimaal stroom [A],Calculated: Optimum current [A],Calculé : courant optimal [A],Berechnet: Optimaler Stromwert der Sicherungseinrichtung [A],Calcolato: Portata fusibile ottimale [A],算出: 最適電流 [A],Calculado: Corrente ideal [A],Рассчитано: Оптимальный ток [A],Calculado: Corriente óptima [A],Hesaplandı: İdeal akım [A],Wyliczony/a: Optymalny prąd [A],
0,.CALC_RESULT_PERMISSION_CURRENT,2,4,0,-1,0,0,#.### A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：允许电流,berekend: toegelaaten stroom,Calculated: Permission current [A],calculé : courant autorisé [A],Berechnet: Strombelastung [A],Calcolato: corrente ammessa [A],算出: 許容電流 [A],Calculado: Corrente permitida [A],Рассчитано: Допустимый ток [A],Calculado: Permiso corriente [A],Hesaplandı: İzin verilen akım [A],Wyliczony/a: Dopuszczalny prąd [A],
0,.CALC_RESULT_VOLTAGE,2,5440,0,-1,0,0,#.### V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,计算：电源电压[V],berekend: werkspanning [V],Calculated: Supply voltage [V],Calculé : tension d'alimentation,Berechnet: Spannungsversorgung [V],Calcolato: tensione di alimentazione [V],算出: 供給電圧 [V],Calculado: Voltagem da Fonte [V],Рассчитано: Напряжение питания [V],Calculado: Voltaje de suministro [V],Hesaplandı: Kaynak voltajı [V],Wyliczony/a: Napięcie zasilania [V],
0,.CALC_RESULT_VOLTAGE_DROP,2,5440,0,-1,0,0,#.### V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Voltage drop（压降） [V],spanningsval [V],Voltage drop [V],Chute de tension  [V],Spannungsabfall [V],Caduta di tensione [V],電圧降下[V],Queda de Tensão [V],Падение напряжения [В],Grupo de voltaje [V],Gerilim düşümü [V],Spadek napięcia [V],
0,.CALC_RESULT_WIRE_IGNITION_POINT_TIME,2,4,0,-1,0,0,# s,0.0,-40.0,1,1,1,25.0,1,1,,,,0,Calculated: Wire Ignition point time （计算：线缆燃点时间 ）[sec],berekend: zekerings smelt tijd [sec],Calculated: Wire Ignition point time [sec],Calculé :  temps de déclenchement de protection de puissance [sec],Berechnet: Auslösezeit Sicherung [sek],Calcolato: Tempo di intervento fusibile [sec],算出: ワイヤ発火時間[秒],Calculado: Tempo do ponto de ignição do fio [sec],Рассчитано: Время возгорания провода [сек],Calculado: tiempo de ignición del hilo [seg],Hesaplandı: Tel kontak noktası zamanı [sec],Wyliczony/a: Punkt zapłonu przewodu [sec],
0,.cmChangeInformation,4,-1275101185,8191,-1,0,0,VALUE,0.0,-40.0,1,0,1,25.0,1,1,,,1,0,cm修改信息,cmModificatie informatie,rmChangeInformation,cmInformationModification,cmÄnderungsInformation,cmInformazioniModifiche,変更情報(CM),cmÍndicedeAlteração,cmChangeInformation,cmInformaciónModificación,cmDeğişiklikBilgisi,rmZmianaInformacji,
0,.cmData,4,-1275101185,8191,0,0,0,VALUE,0.0,-40.0,1,0,1,25.0,1,1,,,1,0,cm数据,cmData,rmData_1,cmDonnées,cmDaten,cmData,変更データ(CM),cmAlteração-Versão,cmData,cmDatos,cmVeri,rmData_1,
73,.CONNECTOR_NAME,4,7488,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,内部设备代号,interne toestelbenaming,Internal device designation,Désignation d'appareil interne,Internes Betriebsmittelkennzeichen,Designazione interna dispositivo,内部デバイス識別名,Designação Interna de Dispositivo,Внутреннее позиционное обозначение,Designación de dispositivo interna,İç Aygıt Adı,Wewnętrzne oznaczenie urządzenia,
0,.CORE_MANUFACTURING_LENGTH,3,4,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,Core manufacturing length（芯线制造长度）,Core manufacturing length,Core (conductor) manufacturing length,Longueur de production du brin,Aderfertigungslänge,Lunghezza produzione conduttore,コア製造長さ,Core manufacturing length,Производственная длина жилы,Longitud de fabricación de vena,Damar Üretim Uzunluğu,Długość produkcyjna żyły,
0,.COST,4,393222,324,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,Cost factor（成本要素）,Kostenfactor,Cost factor,Facteur coût,Kostenfaktor,Fattore di costo,コストファクタ,Fator de custo,сто́имость,Factor de coste,Maliyet etkeni,Czynnik kosztu,
0,.DEVICE_MAPPING_CODE,4,2048,0,-1,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,设备映射,bijvoegsel aan toestel,Device Mapping,Mappage d'appareils,Zuordnung an Betriebsmittel,Assegnazione al dispositivo,デバイスマッピング,Mapeamento de dispositivos,Согласование изделий,Asignación al dispositivo,Aygıt Eşleme,Mapowanie urządzenia,
0,.DOCUMENT_TYPE,4,301989888,0,-1,0,0,DEFAULT,0.0,-40.0,1,0,1,25.0,1,1,,,,0,文档类型,documenttype,Document Type,Type de document,Dokumententyp,Tipo documento,ドキュメントタイプ,Tipo de Documento,Вид документа,Tipo de documento,Belge Türü,Typ dokumentu,
0,.DRILL_HOLE_GRID,4,2080,0,0,0,0,VALUE,0.0,-40.0,0,1,1,25.0,1,1,,,,0,钻孔网格,Boorgat raster,Drill Hole Grid,Grille de perçage,Bohrloch Raster,Griglia forature,ドリル穴グリッド,,Сетка отверстий сверловки,Rejilla de taladro,Delme noktası aralığı,Siatka otworów,
87,.E3.ePLM_ActionField,4,-2147483648,0,0,0,0,VALUE,0.0,0.0,1,0,1,25.0,1,1,,,,0,E3.ePLM Action Field,E3.ePLM actie veld,E3.ePLM Action Field,ChampAction E3.ePLM,E3.ePLM Aktionsfeld,E3.ePLM ActionField,E3.ePLMアクションフィールド,Campo de Ação E3.ePLM,E3.ePLM ActionField,E3.ePLM Campo de acción,E3.ePLM AksiyonAlanı,E3.ePLM Pole Akcji,
86,.E3.ePLM_ID,4,-2113929216,0,-1,0,0,VALUE,0.0,0.0,1,0,1,25.0,1,1,,,,0,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,ID E3.ePLM,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,E3.ePLM ID,
0,.ECHECK_ACTUAL_CURRENT,2,34048,131072,-1,0,0,#.## A,0.0,-40.0,1,1,1,25.0,1,1,,,,0,実電流 (結果) [A],ActualCurrent (resultaat) [A],Actual current (result) [A],Courant réel (résultat) [A],Ist-Strom (Ergebnis),Corrente attuale (risultato) [A],実電流 (結果) [A],Corrente atual (resultado) [A],Фактический ток (результат) [А],Corriente actual (resultado) [A],Aktif akım (sonuç) [A],Aktualny prąd (wynik) [A],
0,.ECHECK_ACTUAL_TEMPERATURE,2,16777220,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,実温度 (結果) [°C],Werkelijke temperatuur (resultaat) [° C],Actual temperature (result) [°C],Température réelle (résultat) [°C],Ist-Temperatur (Ergebnis) [°C],Temperatura attuale (risultato) [°C],実温度 (結果) [°C],Temperatura atual (resultado) [°C],Фактическая температура (результат) [°C],Temperatura actual (resultado) [°C],Aktif sıcaklık (sonuç) [°C],Aktualna temperatura (wynik) [°C],
0,.ECHECK_ACTUAL_VOLTAGE,2,34048,131072,-1,0,0,#.## V,0.0,-40.0,1,1,1,25.0,1,1,,,,0,実電圧 (結果) [V],Actuele spanning (resultaat) [V],Actual voltage (result) [V],Tension réelle (résultat) [V],Ist-Spannung (Ergebnis) [V],Tensione attuale (risultato) [V],実電圧 (結果) [V],Tensão actual (resultado) [V],Фактическое напряжение (результат) [В],Voltaje actual (resultado) [V],Aktif volt (sonuç) [V],Aktualne napięcie (wynik) [V],
0,.ECHECK_AMBIENT_TEMPERATURE,2,16777220,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,周辺温度  [°C],Omgevingstemperatuur [° C],Ambient temperature [°C],Température ambiante [°C],Umgebungstemperatur [°C],Temperatura ambiente [°C],周辺温度  [°C],Temperatura ambiente [°C],Наружная температура [°C],Temperatura ambiente [°C],Ortam sıcaklığı [°C],Temperatura otoczenia [°C],
0,.ECHECK_COLOUR,1,16777216,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,导线颜色,draadkleur,Wire colour,Couleur de fil,Drahtfarbe,Colore filo,ワイヤカラー,Cor do fio,Цвет провода,Color de hilo,Tel rengi,Kolor przewodu,
0,.ECHECK_CROSSEC,2,16777216,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,线径,Dwarsdoorsnede van de kabel,Wire cross-section,Section transversale de fil,Drahtquerschnitt,Sezione filo,ワイヤ断面積,Seção transversal do fio,Сечение провода,Sección cruzada de hilo,Tel enine kesiti,Przekrój przewodu,
0,.ECHECK_INTERNAL_PIN_RESISTANCE,2,5440,262144,-1,0,0,#.##### Ω,0.0,-40.0,1,1,1,25.0,1,1,,,,0,内部针脚电阻 [Ohm],Interne pin weerstand [Ohm],Internal pin resistance [Ohm],Résistance interne de broche [Ohm],Interner Widerstand am Anschlusspunkt [Ohm],Resistenza interna pin [Ohm],内部ピン抵抗 [Ohm],Resistência interna do pino [Ohm],Внутреннее сопротивление вывода [Ом],Resistencia de pin interno [Ohm],Pin iç direnci [Ohm],Wewnętrzna rezystancja pinu [Ohm],
0,.ECHECK_INTERNAL_RESISTANCE,2,0,2048,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,内部电阻 [Ohm],interne weerstand [Ohm],Internal resistance [Ohm],Résistance interne [Ohm],Interner Widerstand [Ohm],Resistenza interna [Ohm],内部抵抗 [Ohm],Resistência interna [Ohm],Внутреннее сопротивление [Ом],Resistencia interna [Ohm],iç direnç [Ohm],Wewnętrzna rezystancja [Ohm],
0,.ECHECK_IS_ACTIVE,5,1,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,eCheck已启动,eCheck is actief,eCheck is active,eCheck est actif,Elektrische Prüfungen sind aktiviert,Verifiche elettriche attive,電気検証 がアクティブです,Verificações eléctricas são ativadas,eCheck активизирован,Verificaciones eléctricas activas,Elektriksel Kontrol aktif,eCheck jest aktywny,
0,.ECHECK_MAXIMUM_CURRENT,2,0,2048,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最大電流 [A],Maximale stroom [A],Maximum current [A],Courant maximal  [A],Maximalstrom [A],Corrente massima [A],最大電流 [A],Corrente máxima [A],Максимальный ток [А],Corriente máxima [A],Maximum akım [A],Maksymalny prąd [A],
0,.ECHECK_MAXIMUM_TEMPERATURE,2,17039364,0,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最高温度 [°C],Maximum temperatuur [° C],Maximum temperature [°C],Température maximale [°C],Maximaltemperatur [°C],Temperatura massima [°C],最高温度 [°C],Temperatura máxima [°C],Максимальная температура [°C],Temperatura máxima [°C],Maximum sıcaklık [°C],Maksymalna temperatura [°C],
0,.ECHECK_MAXIMUM_VOLTAGE,2,0,2048,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最大電圧 [V],Maximale spanning [V],Maximum voltage [V],Tension maximale [V],Maximalspannung [V],Tensione massima [V],最大電圧 [V],Tensão máxima [V],Максимальное напряжение [В],Voltaje máximo [V],Maximum volt [V],Maksymalne napięcie [V],
0,.ECHECK_MINIMUM_CURRENT,2,0,2048,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最小電流 [A],Minimale stroom [A],Minimum current [A],Courant minimal [A],Minimalstrom [A],Corrente minima [A],最小電流 [A],Corrente mínima [A],Минимальный ток [А],Corriente mínima [A],Minimum akım [A],Minimalny prąd [A],
0,.ECHECK_MINIMUM_VOLTAGE,2,0,2048,-1,0,0,VALUE,0.0,-40.0,1,1,1,25.0,1,1,,,,0,最小電圧 [V],Minimale spanning [V],Minimum voltage [V],Tension minimal [V],Minimalspannung [V],Tensione minima [V],最小電圧 [V],Tensão mínima [V],Минимальное напряжениеe [В],Voltaje mínimo [V],Minimum volt [V],Miminalne napięcie [V],
